PROLOGUE|PROLOGUE|PROLOGUE|1.txt
Act 1|Scene 1||2.txt
Act 1|Scene 2||3.txt
Act 1|Scene 3||4.txt
Act 2|Scene 1||5.txt
Act 2|Scene 2||6.txt
Act 2|Scene 3||7.txt
Act 3|Scene 1||8.txt
Act 3|Scene 2||9.txt
Act 3|Scene 3||10.txt
Act 4|Scene 1||11.txt
Act 4|Scene 2||12.txt
Act 4|Scene 3||13.txt
Act 4|Scene 4||14.txt
Act 4|Scene 5||15.txt
Act 5|Scene 1||16.txt
Act 5|Scene 2||17.txt
Act 5|Scene 3||18.txt
Act 5|Scene 4||19.txt
Act 5|Scene 5||20.txt
Act 5|Scene 6||21.txt
Act 5|Scene 7||22.txt
Act 5|Scene 8||23.txt
Act 5|Scene 9||24.txt
Act 5|Scene 10||25.txt
