|Chapter 1|A MYSTERIOUS DISAPPEARANCE|1.txt
|Chapter 2|A MANCHESTER TEA-PARTY|2.txt
|Chapter 3|JOHN BARTONS GREAT TROUBLE|3.txt
|Chapter 4|OLD ALICE'S HISTORY|4.txt
|Chapter 5|THE MILL ON FIRE-JEM WILSON TO THE RESCUE|5.txt
|Chapter 6|POVERTY AND DEATH|6.txt
|Chapter 7|JEM WILSON'S REPULSE|7.txt
|Chapter 8|MARGARET'S DEBUT AS A PUBLIC SINGER|8.txt
|Chapter 9|BARTON'S LONDON EXPERIENCES|9.txt
|Chapter 10|RETURN OF THE PRODIGAL|10.txt
|Chapter 11|MR. CARSON'S INTENTIONS REVEALED|11.txt
|Chapter 12|OLD ALICE'S BAIRN,|12.txt
|Chapter 13|A TRAVELLER'S TALES|13.txt
|Chapter 14|JEM'S INTERVIEW WITH POOR ESTHER|14.txt
|Chapter 15|A VIOLENT MEETING BETWEEN THE RIVALS|15.txt
|Chapter 16|MEETING BETWEEN MASTERS AND WORKMEN|16.txt
|Chapter 17|BARTON'S NIGHT-ERRAND,|17.txt
|Chapter 18|MURDER|18.txt
|Chapter 19|JEM WILSON ARRESTED ON SUSPICION,|19.txt
|Chapter 20|MARY'S DREAM--AND THE AWAKENING|20.txt
|Chapter 21|ESTHER'S MOTIVE IN SEEKING MARY|21.txt
|Chapter 22|MARY'S EFFORTS TO PROVE AN ALIBI|22.txt
|Chapter 23|THE SUB-POENA|23.txt
|Chapter 24|WITH THE DYING|24.txt
|Chapter 25|MRS. WILSON'S DETERMINATION|25.txt
|Chapter 26|THE JOURNEY TO LIVERPOOL|26.txt
|Chapter 27|IN THE LIVERPOOL DOCKS|27.txt
|Chapter 28|"JOHN CROPPER," AHOY!|28.txt
|Chapter 29|A TRUE BILL AGAINST JEM|29.txt
|Chapter 30|JOB LEGH'S DECEPTION|30.txt
|Chapter 31|HOW MARY PASSED THE NIGHT|31.txt
|Chapter 32|THE TRIAL AND VERDICT--"NOT GUILTY."|32.txt
|Chapter 33|REQUIESCAT IN PACE|33.txt
|Chapter 34|THE RETURN HOME|34.txt
|Chapter 35|"FORGIVE US OUR TRESPASSES."|35.txt
|Chapter 36|JEM'S INTERVIEW WITH MR. DUNCOMBE|36.txt
|Chapter 37|DETAILS CONNECTED WITH THE MURDER|37.txt
|Chapter 38|CONCLUSION|38.txt
