||INVOCATION|1.txt
BOOK 1|Canto I|Narad|2.txt
BOOK 1|Canto II|Brahma's Visit|3.txt
BOOK 1|Canto III|The Argument|4.txt
BOOK 1|Canto IV|The Rhapsodists|5.txt
BOOK 1|Canto V|Ayodhya|6.txt
BOOK 1|Canto VI|The King|7.txt
BOOK 1|Canto VII|The Ministers|8.txt
BOOK 1|Canto VIII|Sumantra's Speech|9.txt
BOOK 1|Canto IX|Rishyasring|10.txt
BOOK 1|Canto X|Rishyasring Invited|11.txt
BOOK 1|Canto XI|The Sacrifice Decreed|12.txt
BOOK 1|Canto XII|The Sacrifice Begun|13.txt
BOOK 1|Canto XIII|The Sacrifice Finished|14.txt
BOOK 1|Canto XIV|Ravan Doomed|15.txt
BOOK 1|Canto XV|The Nectar|16.txt
BOOK 1|Canto XVI|The Vanars|17.txt
BOOK 1|Canto XVII|Rishyasring's Return|18.txt
BOOK 1|Canto XVIII|Rishyasring's Departure|19.txt
BOOK 1|Canto XIX|The Birth Of The Princes|20.txt
BOOK 1|Canto XX|Visvamitra's Visit|21.txt
BOOK 1|Canto XXI|Visvamitra's Speech|22.txt
BOOK 1|Canto XXII|Dasaratha's Speech|23.txt
BOOK 1|Canto XXIII|Vasishtha's Speech|24.txt
BOOK 1|Canto XXIV|The Spells|25.txt
BOOK 1|Canto XXV|The Hermitage Of Love|26.txt
BOOK 1|Canto XXVI|The Forest Of Tadaka|27.txt
BOOK 1|Canto XXVII|The Birth Of Tadaka|28.txt
BOOK 1|Canto XXVIII|The Death Of Tadaka|29.txt
BOOK 1|Canto XXIX|The Celestial Arms|30.txt
BOOK 1|Canto XXX|The Mysterious Powers.(166)|31.txt
BOOK 1|Canto XXXI|The Perfect Hermitage|32.txt
BOOK 1|Canto XXXII|Visvamitra's Sacrifice|33.txt
BOOK 1|Canto XXXIII|The Sone|34.txt
BOOK 1|Canto XXXIV|Brahmadatta|35.txt
BOOK 1|Canto XXXV|Visvamitra's Lineage|36.txt
BOOK 1|Canto XXXVI|The Birth Of Ganga|37.txt
BOOK 1|Canto XXXIX|The Sons Of Sagar|38.txt
BOOK 1|Canto XL|The Cleaving Of The Earth|39.txt
BOOK 1|Canto XLI|Kapil|40.txt
BOOK 1|Canto XLII|Sagar's Sacrifice|41.txt
BOOK 1|Canto XLIII|Bhagirath|42.txt
