|Chapter 1|OF FIDDLE MORD|1.txt
|Chapter 2|HRUT WOOS UNNA|2.txt
|Chapter 3|HRUT AND GUNNHILLDA, KING'S MOTHER|3.txt
|Chapter 4|OF HRUT'S CRUISE|4.txt
|Chapter 5|ATLI ARNVID SON'S SLAYING|5.txt
|Chapter 6|HRUT SAILS OUT TO ICELAND|6.txt
|Chapter 7|UNNA SEPARATES FROM HRUT|7.txt
|Chapter 8|MORD CLAIMS HIS GOODS FROM HRUT|8.txt
|Chapter 9|THORWALD GETS HALLGERDA TO WIFE|9.txt
|Chapter 10|HALLGERDA'S WEDDING|10.txt
|Chapter 11|THORWALD'S SLAYING|11.txt
|Chapter 12|THIOSTOLF'S FLIGHT|12.txt
|Chapter 13|GLUM'S WOOING|13.txt
|Chapter 14|GLUM'S WEDDING|14.txt
|Chapter 15|THIOSTOLF GOES TO GLUM'S HOUSE|15.txt
|Chapter 16|GLUM'S SHEEP HUNT|16.txt
|Chapter 17|GLUM'S SLAYING|17.txt
|Chapter 18|FIDDLE MORD'S DEATH|18.txt
|Chapter 19|GUNNAR COMES INTO THE STORY|19.txt
|Chapter 20|OF NJAL AND HIS CHILDREN|20.txt
|Chapter 21|UNNA GOES TO SEE GUNNAR|21.txt
|Chapter 22|NJAL'S ADVICE|22.txt
|Chapter 23|HUCKSTER HEDINN.|23.txt
|Chapter 24|GUNNAR AND HRUT STRIVE AT THE THING.|24.txt
|Chapter 25|UNNA'S SECOND WEDDING|25.txt
|Chapter 26|OF ASGRIM AND HIS CHILDREN|26.txt
|Chapter 27|HELGI NJAL'S SON'S WOOING|27.txt
|Chapter 28|HALLVARD COMES OUT TO ICELAND|28.txt
|Chapter 29|GUNNAR GOES ABROAD|29.txt
|Chapter 30|GUNNAR GOES A-SEA-ROVING|30.txt
|Chapter 31|GUNNAR GOES TO KING HAROLD GORM'S SON AND EARL HACON|31.txt
|Chapter 32|GUNNAR COMES OUT TO ICELAND|32.txt
|Chapter 33|GUNNAR'S WOOING|33.txt
|Chapter 34|OF THRAIN SIGFUS' SON|34.txt
|Chapter 35|THE VISIT TO BERGTHORSKNOLL|35.txt
|Chapter 36|KOL SLEW SWART|36.txt
|Chapter 37|THE SLAYING OF KOL, WHOM ATLI SLEW|37.txt
|Chapter 38|THE KILLING OF ATLI THE THRALL|38.txt
|Chapter 39|THE SLAYING OF BRYNJOLF THE UNRULY|39.txt
|Chapter 40|GUNNAR AND NJAL MAKE PEACE ABOUT BRYNJOLF'S SLAYING|40.txt
|Chapter 41|SIGMUND COMES OUT TO ICELAND|41.txt
|Chapter 42|THE SLAYING OF THORD FREEDMANSON|42.txt
|Chapter 43|NJAL AND GUNNAR MAKE PEACE FOR THE SLAYING OF THORD|43.txt
|Chapter 44|SIGMUND MOCKS NJAL AND HIS SONS|44.txt
|Chapter 45|THE SLAYING OF SIGMUND AND SKIOLLD|45.txt
|Chapter 46|OF GIZUR THE WHITE AND GEIR THE PRIEST|46.txt
|Chapter 47|OF OTKELL IN KIRKBY|47.txt
|Chapter 48|HOW HALLGERDA MAKES MALCOLM STEAL FROM KIRKBY|48.txt
|Chapter 49|OF SKAMKELL'S EVIL COUNSEL|49.txt
|Chapter 50|OF SKAMKELL'S LYING|50.txt
|Chapter 51|OF GUNNAR|51.txt
|Chapter 52|OF RUNOLF, THE SON OF WOLF AURPRIEST|52.txt
|Chapter 53|HOW OTKELL RODE OVER GUNNAR|53.txt
|Chapter 54|THE FIGHT AT RANGRIVER|54.txt
|Chapter 55|NJAL'S ADVICE TO GUNNAR|55.txt
|Chapter 56|GUNNAR AND GEIR THE PRIEST STRIVE AT THE THING|56.txt
|Chapter 57|OF STARKAD AND HIS SONS|57.txt
|Chapter 58|HOW GUNNAR'S HORSE FOUGHT|58.txt
|Chapter 59|OF ASGRIM AND WOLF UGGIS' SON|59.txt
|Chapter 60|AN ATTACK AGAINST GUNNAR AGREED ON|60.txt
|Chapter 61|GUNNAR'S DREAM|61.txt
|Chapter 62|THE SLAYING OF HJORT AND FOURTEEN MEN|62.txt
|Chapter 63|NJAL'S COUNSEL TO GUNNAR|63.txt
|Chapter 64| OF VALGARD AND MORD|64.txt
|Chapter 65|OF FINES AND ATONEMENTS|65.txt
|Chapter 66|OF THORGEIR OTKELL'S SON|66.txt
|Chapter 67|OF THORGEIR STARKAD'S SON|67.txt
|Chapter 68|OF NJAL AND THOSE NAMESAKES|68.txt
|Chapter 69|OLAF THE PEACOCK'S GIFTS TO GUNNAR|69.txt
|Chapter 70|MORD'S COUNSEL|70.txt
|Chapter 71|THE SLAYING OF THORGEIR OTKELL'S SON|71.txt
|Chapter 72|OF THE SUITS FOR MANSLAUGHTER AT THE THING|72.txt
|Chapter 73|OF THE ATONEMENT|73.txt
|Chapter 74|KOLSKEGG GOES ABROAD|74.txt
|Chapter 75|THE RIDING TO LITHEND|75.txt
|Chapter 76|GUNNAR'S SLAYING|76.txt
|Chapter 77|GUNNAR SINGS A SONG DEAD|77.txt
|Chapter 78|GUNNAR OF LITHEND AVENGED|78.txt
|Chapter 79|HOGNI TAKES AN ATONEMENT FOR GUNNAR'S DEATH|79.txt
|Chapter 80|OF KOLSKEGG: HOW HE WAS BAPTIZED|80.txt
|Chapter 81|OF THRAIN: HOW HE SLEW KOL|81.txt
|Chapter 82|NJAL'S SONS SAIL ABROAD|82.txt
|Chapter 83|OF KARI SOLMUND'S SON|83.txt
|Chapter 84|OF EARL SIGURD|84.txt
|Chapter 85|THE BATTLE WITH THE EARLS|85.txt
|Chapter 86|HRAPP'S VOYAGE FROM ICELAND|86.txt
|Chapter 87|THRAIN TOOK TO HRAPP|87.txt
|Chapter 88|EARL HACON FIGHTS WITH NJAL'S SONS.|88.txt
|Chapter 89|NJAL'S SONS AND KARI COME OUT TO ICELAND|89.txt
