Volume 1|LETTER 1| LADY HOWARD TO THE REV. MR. VILLARS|1.txt
Volume 1|LETTER 2| MR. VILLARS TO LADY HOWARD|2.txt
Volume 1|LETTER 3|  LADY HOWARD TO THE REV. MR. VILLARS|3.txt
Volume 1|LETTER 4| MR. VILLARS TO LADY HOWARD|4.txt
Volume 1|LETTER 5| MR. VILLARS TO LADY HOWARD|5.txt
Volume 1|LETTER 6| LADY HOWARD TO THE REV. MR. VILLARS|6.txt
Volume 1|LETTER 7| LADY HOWARD TO THE REV. MR. VILLARS|7.txt
Volume 1|LETTER 8| EVELINA TO THE REV. MR. VILLARS|8.txt
Volume 1|LETTER 9| MR. VILLARS TO EVELINA|9.txt
Volume 1|LETTER 10| EVELINA TO THE REV. MR. VILLARS |10.txt
Volume 1|LETTER 11| EVELINA IN CONTINUATION|11.txt
Volume 1|LETTER 12| EVELINA IN CONTINUATION|12.txt
Volume 1|LETTER 13| EVELINA IN CONTINUATION|13.txt
Volume 1|LETTER 14| EVELINA IN CONTINUATION.|14.txt
Volume 1|LETTER 15|  MR. VILLARS TO EVELINA|15.txt
Volume 1|LETTER 16| EVELINA TO THE REV. MR. VILLARS|16.txt
Volume 1|LETTER 17| EVELINA IN CONTINUATION|17.txt
Volume 1|LETTER 18| EVELINA IN CONTINUATION|18.txt
Volume 1|LETTER 19| EVELINA IN CONTINUATION|19.txt
Volume 1|LETTER 20| EVELINA IN CONTINUATION|20.txt
Volume 1|LETTER 21| EVELINA IN CONTINUATION|21.txt
Volume 1|LETTER 22| EVELINA IN CONTINUATION|22.txt
Volume 1|LETTER 23| EVELINA IN CONTINUATION|23.txt
Volume 1|LETTER 24| MR VILLARS TO EVELINA|24.txt
Volume 1|LETTER 25| EVELINA TO THE REV. MR. VILLARS|25.txt
Volume 1|LETTER 26| EVELINA TO THE REV. MR. VILLARS|26.txt
Volume 1|LETTER 27| LADY HOWARD TO THE REV. MR. VILLARS|27.txt
Volume 1|LETTER 28| MR VILLARS TO LADY HOWARD|28.txt
Volume 1|LETTER 29| MR. VILLARS TO EVELINA|29.txt
Volume 1|LETTER 30| EVELINA TO THE REV. MR. VILLARS|30.txt
Volume 1|LETTER 31| LADY HOWARD TO SIR JOHN BELMONT, BART|31.txt
Volume 2|LETTER 1| EVELINA TO THE REV. MR. VILLARS|32.txt
Volume 2|LETTER 2| EVELINA IN CONTINUATION|33.txt
Volume 2|LETTER 3|  EVELINA IN CONTINUATION|34.txt
Volume 2|LETTER 4| SIR JOHN BELMONT TO LADY HOWARD|35.txt
Volume 2|LETTER 5|  EVELINA TO THE REV. MR. VILLARS|36.txt
Volume 2|LETTER 6| MR. VILLARS TO EVELINA|37.txt
Volume 2|LETTER 7| MR. VILLARS TO LADY HOWARD|38.txt
Volume 2|LETTER 8| MR. VILLARS TO EVELINA|39.txt
Volume 2|LETTER 9| EVELINA TO THE REV. MR. VILLARS|40.txt
Volume 2|LETTER 10| EVELINA TO MISS MIRVAN|41.txt
Volume 2|LETTER 11| EVELINA TO THE REV. MR. VILLARS|42.txt
Volume 2|LETTER 12| EVELINA IN CONTINUATION|43.txt
Volume 2|LETTER 13| EVELINA IN CONTINUATION|44.txt
Volume 2|LETTER 14| EVELINA IN CONTINUATION|45.txt
