,bookwolf,cliffnotes,gradesaver,novelguide,pinkmonkey,sparknotes,thebestnotes
"bleak-house-chapter-1, sentence-0",,0.0,,0.0,,0.0,
"bleak-house-chapter-1, sentence-1",,1.0,,0.0,,0.0,
"bleak-house-chapter-1, sentence-2",,1.0,,1.0,,0.0,
"bleak-house-chapter-1, sentence-3",,1.0,,0.0,,0.0,
"bleak-house-chapter-1, sentence-4",,0.0,,0.0,,1.0,
"bleak-house-chapter-1, sentence-5",,0.0,,0.0,,1.0,
"bleak-house-chapter-1, sentence-6",,0.0,,1.0,,1.0,
"bleak-house-chapter-1, sentence-7",,0.0,,1.0,,1.0,
"bleak-house-chapter-1, sentence-8",,1.0,,1.0,,1.0,
"bleak-house-chapter-1, sentence-9",,0.0,,1.0,,1.0,
"bleak-house-chapter-1, sentence-10",,0.0,,0.0,,0.0,
"bleak-house-chapter-1, sentence-11",,0.0,,1.0,,0.0,
"bleak-house-chapter-1, sentence-12",,0.0,,0.0,,0.0,
"bleak-house-chapter-1, sentence-13",,1.0,,1.0,,1.0,
"bleak-house-chapter-1, sentence-14",,1.0,,0.0,,0.0,
"bleak-house-chapter-1, sentence-15",,1.0,,1.0,,1.0,
"bleak-house-chapter-1, sentence-16",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-0",,0.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-1",,0.0,,0.0,,1.0,
"bleak-house-chapter-2, sentence-2",,1.0,,1.0,,0.0,
"bleak-house-chapter-2, sentence-3",,1.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-4",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-5",,0.0,,1.0,,0.0,
"bleak-house-chapter-2, sentence-6",,0.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-7",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-8",,0.0,,1.0,,0.0,
"bleak-house-chapter-2, sentence-9",,0.0,,1.0,,0.0,
"bleak-house-chapter-2, sentence-10",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-11",,0.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-12",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-13",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-14",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-15",,0.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-16",,0.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-17",,0.0,,1.0,,0.0,
"bleak-house-chapter-2, sentence-18",,0.0,,1.0,,0.0,
"bleak-house-chapter-2, sentence-19",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-20",,1.0,,0.0,,0.0,
"bleak-house-chapter-2, sentence-21",,0.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-22",,1.0,,1.0,,1.0,
"bleak-house-chapter-2, sentence-23",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-0",,0.0,,0.0,,1.0,
"bleak-house-chapter-3, sentence-1",,0.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-2",,0.0,,1.0,,0.0,
"bleak-house-chapter-3, sentence-3",,0.0,,1.0,,0.0,
"bleak-house-chapter-3, sentence-4",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-5",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-6",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-7",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-8",,0.0,,1.0,,0.0,
"bleak-house-chapter-3, sentence-9",,0.0,,0.0,,1.0,
"bleak-house-chapter-3, sentence-10",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-11",,0.0,,1.0,,0.0,
"bleak-house-chapter-3, sentence-12",,0.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-13",,0.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-14",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-15",,0.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-16",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-17",,0.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-18",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-19",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-20",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-21",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-22",,0.0,,1.0,,0.0,
"bleak-house-chapter-3, sentence-23",,0.0,,0.0,,1.0,
"bleak-house-chapter-3, sentence-24",,0.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-25",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-26",,0.0,,0.0,,1.0,
"bleak-house-chapter-3, sentence-27",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-28",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-29",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-30",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-31",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-32",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-33",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-34",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-35",,1.0,,0.0,,0.0,
"bleak-house-chapter-3, sentence-36",,1.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-37",,0.0,,1.0,,1.0,
"bleak-house-chapter-3, sentence-38",,0.0,,1.0,,1.0,
"bleak-house-chapter-4, sentence-0",,0.0,,1.0,,1.0,
"bleak-house-chapter-4, sentence-1",,0.0,,1.0,,0.0,
"bleak-house-chapter-4, sentence-2",,1.0,,1.0,,1.0,
"bleak-house-chapter-4, sentence-3",,1.0,,1.0,,1.0,
"bleak-house-chapter-4, sentence-4",,1.0,,1.0,,0.0,
"bleak-house-chapter-4, sentence-5",,0.0,,1.0,,1.0,
"bleak-house-chapter-4, sentence-6",,1.0,,1.0,,1.0,
"bleak-house-chapter-4, sentence-7",,0.0,,1.0,,0.0,
"bleak-house-chapter-4, sentence-8",,1.0,,1.0,,0.0,
"bleak-house-chapter-4, sentence-9",,0.0,,1.0,,0.0,
